ECOREGION,season,year,Metrics,values
Kermadec Island,Summer,1982,Number_MHW_days,0
Kermadec Island,Summer,1982,Nevents,0
Kermadec Island,Summer,1982,Mean_Intensity,0
Kermadec Island,Summer,1982,Maximum_Intensity,0
Kermadec Island,Summer,1982,Cumulative_Intensity,0
Kermadec Island,Summer,1983,Number_MHW_days,0
Kermadec Island,Summer,1983,Nevents,0
Kermadec Island,Summer,1983,Mean_Intensity,0
Kermadec Island,Summer,1983,Maximum_Intensity,0
Kermadec Island,Summer,1983,Cumulative_Intensity,0
Kermadec Island,Summer,1984,Number_MHW_days,9.916666666666666
Kermadec Island,Summer,1984,Nevents,2
Kermadec Island,Summer,1984,Mean_Intensity,1.7338877107933008
Kermadec Island,Summer,1984,Maximum_Intensity,2.022016825612386
Kermadec Island,Summer,1984,Cumulative_Intensity,17.256333683013917
Kermadec Island,Summer,1985,Number_MHW_days,35.666666666666664
Kermadec Island,Summer,1985,Nevents,2.1666666666666665
Kermadec Island,Summer,1985,Mean_Intensity,1.681888866277397
Kermadec Island,Summer,1985,Maximum_Intensity,2.7386080790201826
Kermadec Island,Summer,1985,Cumulative_Intensity,59.62214804814656
Kermadec Island,Summer,1986,Number_MHW_days,0
Kermadec Island,Summer,1986,Nevents,0
Kermadec Island,Summer,1986,Mean_Intensity,0
Kermadec Island,Summer,1986,Maximum_Intensity,0
Kermadec Island,Summer,1986,Cumulative_Intensity,0
Kermadec Island,Summer,1987,Number_MHW_days,1
Kermadec Island,Summer,1987,Nevents,0.16666666666666666
Kermadec Island,Summer,1987,Mean_Intensity,1.6910748219807936
Kermadec Island,Summer,1987,Maximum_Intensity,1.9152500762939457
Kermadec Island,Summer,1987,Cumulative_Intensity,1.6910748219807938
Kermadec Island,Summer,1988,Number_MHW_days,7.166666666666667
Kermadec Island,Summer,1988,Nevents,0.9166666666666666
Kermadec Island,Summer,1988,Mean_Intensity,1.4429242662331245
Kermadec Island,Summer,1988,Maximum_Intensity,1.948816603088379
Kermadec Island,Summer,1988,Cumulative_Intensity,10.246416304270427
Kermadec Island,Summer,1989,Number_MHW_days,0
Kermadec Island,Summer,1989,Nevents,0
Kermadec Island,Summer,1989,Mean_Intensity,0
Kermadec Island,Summer,1989,Maximum_Intensity,0
Kermadec Island,Summer,1989,Cumulative_Intensity,0
Kermadec Island,Summer,1990,Number_MHW_days,20.25
Kermadec Island,Summer,1990,Nevents,1
Kermadec Island,Summer,1990,Mean_Intensity,1.7950606368079933
Kermadec Island,Summer,1990,Maximum_Intensity,2.909383002726237
Kermadec Island,Summer,1990,Cumulative_Intensity,36.62225022252401
Kermadec Island,Summer,1991,Number_MHW_days,1
Kermadec Island,Summer,1991,Nevents,0.5833333333333334
Kermadec Island,Summer,1991,Mean_Intensity,1.381868769691104
Kermadec Island,Summer,1991,Maximum_Intensity,1.4586710253034316
Kermadec Island,Summer,1991,Cumulative_Intensity,1.3977331871032714
Kermadec Island,Summer,1992,Number_MHW_days,0
Kermadec Island,Summer,1992,Nevents,0
Kermadec Island,Summer,1992,Mean_Intensity,0
Kermadec Island,Summer,1992,Maximum_Intensity,0
Kermadec Island,Summer,1992,Cumulative_Intensity,0
Kermadec Island,Summer,1993,Number_MHW_days,0
