Region,season,year,Metrics,values
Western North Island,Summer,1982,Number_MHW_days,0
Western North Island,Summer,1982,Nevents,0
Western North Island,Summer,1982,Mean_Intensity,0
Western North Island,Summer,1982,Maximum_Intensity,0
Western North Island,Summer,1982,Cumulative_Intensity,0
Western North Island,Summer,1983,Number_MHW_days,0
Western North Island,Summer,1983,Nevents,0
Western North Island,Summer,1983,Mean_Intensity,0
Western North Island,Summer,1983,Maximum_Intensity,0
Western North Island,Summer,1983,Cumulative_Intensity,0
Western North Island,Summer,1984,Number_MHW_days,8.571428571
Western North Island,Summer,1984,Nevents,1.047619048
Western North Island,Summer,1984,Mean_Intensity,1.397956391
Western North Island,Summer,1984,Maximum_Intensity,1.704806662
Western North Island,Summer,1984,Cumulative_Intensity,12.31492357
Western North Island,Summer,1985,Number_MHW_days,23.80952381
Western North Island,Summer,1985,Nevents,1.904761905
Western North Island,Summer,1985,Mean_Intensity,1.704482627
Western North Island,Summer,1985,Maximum_Intensity,2.240433304
Western North Island,Summer,1985,Cumulative_Intensity,40.65028142
Western North Island,Summer,1986,Number_MHW_days,19.66666667
Western North Island,Summer,1986,Nevents,1.142857143
Western North Island,Summer,1986,Mean_Intensity,2.139259523
Western North Island,Summer,1986,Maximum_Intensity,3.220342766
Western North Island,Summer,1986,Cumulative_Intensity,41.91101483
Western North Island,Summer,1987,Number_MHW_days,2.666666667
Western North Island,Summer,1987,Nevents,0.285714286
Western North Island,Summer,1987,Mean_Intensity,1.87742702
Western North Island,Summer,1987,Maximum_Intensity,2.097633282
Western North Island,Summer,1987,Cumulative_Intensity,5.044561676
Western North Island,Summer,1988,Number_MHW_days,13.42857143
Western North Island,Summer,1988,Nevents,1.761904762
Western North Island,Summer,1988,Mean_Intensity,1.438708424
Western North Island,Summer,1988,Maximum_Intensity,1.907819135
Western North Island,Summer,1988,Cumulative_Intensity,18.98316644
Western North Island,Summer,1989,Number_MHW_days,0.523809524
Western North Island,Summer,1989,Nevents,0.095238095
