Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Change_Point_pvalue,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
Region_12nm,Western North Island,None,Number_MHW_days,13.13605442,3.45E-04,1997,0.012265079,0,0.963769931,23.98809524,0.033561412,Inf
Region_12nm,Western North Island,None,Nevents,0.903508772,0.001455209,1997,0.014555598,0,1,1.048752834,0.14728335,Inf
Region_12nm,Western North Island,None,Mean_Intensity,0.034237152,0.421169063,2014,0.416255311,-0.070758603,0.376641282,0.287221637,0.710523023,-4.059176201
Region_12nm,Western North Island,None,Maximum_Intensity,0.106674191,0.187723999,2009,0.170869902,-0.148528511,0.159994086,0.539883077,0.044083784,-3.634878407
Region_12nm,Western North Island,None,Cumulative_Intensity,17.37446625,5.35E-04,2012,0.017955279,3.892772292,0.307224121,147.6250557,0.107404636,37.92285924
Region_12nm,Eastern North Island,None,Number_MHW_days,11.59824849,2.40E-04,1997,2.42E-04,-0.340909091,0.750513071,6.361111111,0.469063268,-18.65925926
Region_12nm,Eastern North Island,None,Nevents,0.945473251,6.61E-04,1997,5.32E-04,-0.048400673,0.716036004,0.277777778,0.590951627,-5.739130435
Region_12nm,Eastern North Island,None,Mean_Intensity,0.060756049,0.024450623,2008,0.053456048,-0.014694205,0.616180593,0.118755758,0.125311111,-8.081808723
Region_12nm,Eastern North Island,None,Maximum_Intensity,0.137072846,0.004613239,2008,0.031541332,0,0.933418099,0.321393881,0.062698116,Inf
Region_12nm,Eastern North Island,None,Cumulative_Intensity,17.19242621,1.25E-04,1997,2.72E-04,-0.220642186,0.750513071,14.7764388,0.272342712,-66.97014314
Region_12nm,North Cook Strait,None,Number_MHW_days,12.45792426,3.62E-04,1997,0.004128754,0,1,17.92028986,0.09727655,Inf
Region_12nm,North Cook Strait,None,Nevents,0.918803419,9.32E-04,1997,0.00432947,-0.434782609,0.71770616,0.943887031,0.175431019,-2.170940171
Region_12nm,North Cook Strait,None,Mean_Intensity,0.009829363,0.726625358,2014,0.72961596,-0.034546275,0.33651361,-0.239695845,0.536186772,6.938399255
Region_12nm,North Cook Strait,None,Maximum_Intensity,0.078291786,0.141996731,2014,0.262518929,-0.010627143,0.82819485,-0.093665965,0.901538627,8.813842672
Region_12nm,North Cook Strait,None,Cumulative_Intensity,17.55236519,7.90E-04,1997,0.006582661,0,1,28.9922772,0.141192973,Inf
Region_12nm,South Cook Strait,None,Number_MHW_days,13.14144737,0.001239307,1997,1,0,0.963769931,23.68421053,0.083855783,Inf
Region_12nm,South Cook Strait,None,Nevents,0.9608199,0.002074955,1997,0.014555598,-0.071770335,0.784990635,1.156015038,0.175195332,-16.10714286
Region_12nm,South Cook Strait,None,Mean_Intensity,0.08978131,0.082382541,2003,0.133626528,-0.060098358,0.692003017,0.033645885,0.779566065,-0.559846989
Region_12nm,South Cook Strait,None,Maximum_Intensity,0.229616682,0.006601819,2006,0.021168586,0.005489022,0.869831459,0.182976483,0.499461203,33.33498869
Region_12nm,South Cook Strait,None,Cumulative_Intensity,18.76253371,7.54E-04,2012,0.024884015,2.569781327,0.323628654,155.3707347,0.07363827,60.46068319
Region_12nm,West Coast South Island,None,Number_MHW_days,15.68719287,0.001450862,2012,0.022959638,1.515151515,0.45346603,87.67045455,0.152406284,57.8625
Region_12nm,West Coast South Island,None,Nevents,0.869490358,0.007042975,1998,0.057472053,0,0.933796394,0.763403263,0.196972226,Inf
Region_12nm,West Coast South Island,None,Mean_Intensity,0.007767299,0.666049049,2014,0.72961596,-0.064438819,0.410592302,-0.510638626,0.386476231,7.924394531
Region_12nm,West Coast South Island,None,Maximum_Intensity,0.121331566,0.115332179,2012,0.137885103,-0.094011388,0.539645389,0.493476853,0.37109337,-5.249117831
Region_12nm,West Coast South Island,None,Cumulative_Intensity,21.87507614,0.001572241,2012,0.015185229,1.382667646,0.585616388,180.9548618,0.152406284,130.8737225
Region_12nm,East Coast South Island,None,Number_MHW_days,15.39583333,5.23E-05,2012,0.003576804,3.333333333,0.195890822,109.375,0.152406284,32.8125
Region_12nm,East Coast South Island,None,Nevents,1.308170996,3.47E-05,1998,0.00153752,0.0625,0.771056025,1.806344697,0.041766347,28.90151515
Region_12nm,East Coast South Island,None,Mean_Intensity,0.043823318,0.158361059,2006,1,0,1,0.026992452,0.821891691,Inf
Region_12nm,East Coast South Island,None,Maximum_Intensity,0.143630161,0.003432059,2008,0.015185229,0.007592394,0.769974743,0.230701511,0.443421403,30.38587186
Region_12nm,East Coast South Island,None,Cumulative_Intensity,22.65254958,4.28E-05,2012,0.00294635,4.603085201,0.173381424,170.4998308,0.283130871,37.04033781
Region_12nm,Southland,None,Number_MHW_days,12.36397516,0.001652019,2012,0.011745779,0.902857143,0.670737798,54.68571429,0.152406284,60.56962025
Region_12nm,Southland,None,Nevents,1.152477152,0.001293761,2012,0.014555598,0.238095238,0.414148632,2.142857143,0.720514787,9
Region_12nm,Southland,None,Mean_Intensity,0.018524438,0.641102833,2009,0.426311693,-0.083414425,0.143459241,-0.078249504,0.951352131,0.938081201
Region_12nm,Southland,None,Maximum_Intensity,0.114480631,0.097953143,2006,0.087406277,-0.136016722,0.282193674,0.273604818,0.392314347,-2.011552805
Region_12nm,Southland,None,Cumulative_Intensity,17.72212488,0.002093487,2012,0.009861279,1.145889154,0.746617173,160.7304739,0.283130871,140.2670348
Region_12nm,Fiordland,None,Number_MHW_days,12.26522436,0.0033869,2012,0.022959638,1.09375,0.669626921,53.59375,0.24303496,49
Region_12nm,Fiordland,None,Nevents,0.803571429,0.014676636,1998,0.051540395,0,0.900922021,0.78125,0.456658038,Inf
Region_12nm,Fiordland,None,Mean_Intensity,0.020126248,0.640542656,2010,0.648058991,-0.127142497,0.186948902,0.155815425,0.63122182,-1.225518054
Region_12nm,Fiordland,None,Maximum_Intensity,0.129212113,0.25262218,2010,0.35932441,-0.060137101,0.450794674,0.3868555,0.537133857,-6.432892425
Region_12nm,Fiordland,None,Cumulative_Intensity,19.98586373,0.003263914,2012,0.016518311,0.46848522,0.771717655,91.4045619,0.2104977,195.1066075
Region x Season_12nm,Western North Island,Summer,Number_MHW_days,2.699829932,0.006763839,2009,0.018714846,-0.25,0.750585936,27.80952381,0.03273561,-111.2380952
Region x Season_12nm,Western North Island,Summer,Nevents,0.238095238,0.020095548,2010,0.031541332,-0.027210884,0.664147436,0.995670996,0.192616274,-36.59090909
Region x Season_12nm,Western North Island,Summer,Mean_Intensity,0.110912942,0.031719717,2009,0.133626528,0,0.842523409,0.799120208,0.03273561,Inf
Region x Season_12nm,Western North Island,Summer,Maximum_Intensity,0.271887707,0.014228745,2009,0.028038691,-0.043849403,0.578028347,1.462949427,0.03273561,-33.36304129
Region x Season_12nm,Western North Island,Summer,Cumulative_Intensity,4.021058552,0.008926268,2009,0.023904655,-0.323606369,0.72064252,73.33775398,0.03273561,-226.6264236
Region x Season_12nm,Western North Island,Autumn,Number_MHW_days,3.952380952,4.08E-04,2012,0.021168586,0,0.179132743,8.154761905,0.720514787,Inf
Region x Season_12nm,Western North Island,Autumn,Nevents,0.273417059,0.002028469,1997,0.038237981,0,0.377234304,0.272108844,0.266348088,Inf
Region x Season_12nm,Western North Island,Autumn,Mean_Intensity,0.107215083,0.016712721,2012,0.146733186,0,0.6542903,0.270875389,0.283130871,Inf
Region x Season_12nm,Western North Island,Autumn,Maximum_Intensity,0.235666441,0.003694375,2012,0.053456048,0,0.478304273,0.509871031,0.37109337,Inf
Region x Season_12nm,Western North Island,Autumn,Cumulative_Intensity,4.218378458,4.47E-04,2012,0.019502976,0,0.191514267,8.516493834,0.858027657,Inf
Region x Season_12nm,Western North Island,Winter,Number_MHW_days,0.406850459,7.81E-04,1997,0.001460618,0,1,0,0.924656132,NA
Region x Season_12nm,Western North Island,Winter,Nevents,0.05026455,0.001117894,1997,0.001460618,0,1,0,0.962264876,NA
Region x Season_12nm,Western North Island,Winter,Mean_Intensity,0.006577823,0.006135031,1997,0.001884355,0,1,-0.027492856,0.368962764,#NAME?
Region x Season_12nm,Western North Island,Winter,Maximum_Intensity,0.007503923,0.006623217,1997,0.003408486,0,1,-0.017584596,0.507976232,#NAME?
